o,p,c,counts.all_mostly_true_rep (s=0.5),counts.all_mostly_true_rep (s=0.25),counts.all_mostly_true_rep (s=0.0),counts.all_totally_true_rep (s=0.5),counts.all_totally_true_rep (s=0.25),counts.all_totally_true_rep (s=0.0),counts.inspecting_s0 (s=0.5),counts.inspecting_s0 (s=0.25),counts.inspecting_s0 (s=0.0),counts.inspecting_s1 (s=0.5),counts.inspecting_s1 (s=0.25),counts.inspecting_s1 (s=0.0),counts.self_deception_s0 (s=0.5),counts.self_deception_s0 (s=0.25),counts.self_deception_s0 (s=0.0),counts.self_deception_s1 (s=0.5),counts.self_deception_s1 (s=0.25),counts.self_deception_s1 (s=0.0),counts.conscious_deception_s1 (s=0.5),counts.conscious_deception_s1 (s=0.25),counts.conscious_deception_s1 (s=0.0),counts.conscious_deception_s1_a3_correct (s=0.5),counts.conscious_deception_s1_a3_correct (s=0.25),counts.conscious_deception_s1_a3_correct (s=0.0),counts.conscious_deception_s1_a3_correct_self (s=0.5),counts.conscious_deception_s1_a3_correct_self (s=0.25),counts.conscious_deception_s1_a3_correct_self (s=0.0),counts.whole_deception_s1 (s=0.5),counts.whole_deception_s1 (s=0.25),counts.whole_deception_s1 (s=0.0),counts.whole_deception_s1_a3 (s=0.5),counts.whole_deception_s1_a3 (s=0.25),counts.whole_deception_s1_a3 (s=0.0),counts.whole_deception_s1_fromConscious (s=0.5),counts.whole_deception_s1_fromConscious (s=0.25),counts.whole_deception_s1_fromConscious (s=0.0),counts.whole_deception_s1_fromSelf (s=0.5),counts.whole_deception_s1_fromSelf (s=0.25),counts.whole_deception_s1_fromSelf (s=0.0),counts.whole_deception_s1_fromBoth (s=0.5),counts.whole_deception_s1_fromBoth (s=0.25),counts.whole_deception_s1_fromBoth (s=0.0),counts.whole_deception_s1_fromNeither (s=0.5),counts.whole_deception_s1_fromNeither (s=0.25),counts.whole_deception_s1_fromNeither (s=0.0)
1.0,0.2,0.3,174,120,,85,5,,58,85,,187,130,,356,412,,499,753,,770,734,,135,155,,26,32,,843,831,,295,202,,539,329,,119,117,,447,670,,97,123,
1.0,0.2,0.2,156,109,,67,3,,147,219,,402,297,,338,412,,503,738,,784,709,,315,318,,41,52,,860,783,,506,401,,541,304,,112,114,,458,643,,107,95,
1.0,0.2,0.1,185,108,,79,5,,292,391,,640,589,,391,439,,555,758,,833,759,,471,544,,59,75,,868,828,,692,637,,574,327,,154,132,,519,683,,90,112,
1.0,0.2,0.0,198,117,,60,1,,521,582,,838,792,,427,449,,572,758,,822,759,,580,639,,87,98,,886,838,,819,758,,543,318,,190,164,,535,679,,120,116,
1.0,0.1,0.6,140,,,71,,,0,,,0,,,343,,,477,,,744,,,0,,,0,,,813,,,0,,,534,,,116,,,412,,,96,,
1.0,0.1,0.5,127,,,56,,,1,,,1,,,373,,,515,,,781,,,2,,,1,,,850,,,7,,,542,,,139,,,450,,,98,,
1.0,0.1,0.4,149,101,,77,5,,9,19,,32,13,,342,389,,487,753,,788,722,,25,27,,6,7,,850,820,,67,42,,563,328,,122,95,,440,656,,81,115,
1.0,0.1,0.3,145,106,,62,10,,33,65,,129,101,,373,412,,495,729,,780,685,,137,124,,32,29,,849,791,,257,173,,540,308,,127,99,,445,621,,90,119,
1.0,0.1,0.2,140,89,,53,3,,109,178,,364,290,,380,432,,532,760,,796,711,,334,317,,44,56,,854,794,,522,425,,552,296,,131,111,,476,654,,83,101,
1.0,0.1,0.1,143,111,,58,5,,282,359,,623,603,,397,453,,558,750,,804,723,,484,521,,70,71,,861,828,,714,670,,521,303,,148,131,,512,654,,89,131,
1.0,0.1,0.0,157,121,,59,10,,433,560,,849,818,,426,486,,566,754,,826,754,,593,638,,87,85,,882,847,,840,795,,532,319,,168,160,,519,675,,93,121,
0.9,1.0,0.4,778,,,387,,,761,,,886,,,299,,,533,,,854,,,424,,,3,,,877,,,774,,,658,,,97,,,487,,,101,,
0.9,1.0,0.3,719,,,187,,,906,,,941,,,359,,,716,,,908,,,649,,,6,,,915,,,838,,,614,,,147,,,681,,,129,,
0.9,1.0,0.2,730,,,117,,,972,,,978,,,318,,,729,,,942,,,786,,,7,,,951,,,905,,,561,,,168,,,762,,,122,,
0.9,1.0,0.1,715,,,52,,,980,,,983,,,280,,,689,,,972,,,899,,,6,,,977,,,955,,,491,,,185,,,839,,,98,,
0.9,1.0,0.0,718,,,41,,,989,,,992,,,213,,,548,,,977,,,919,,,5,,,982,,,968,,,465,,,137,,,849,,,84,,
0.9,0.9,0.4,743,,,393,,,645,,,836,,,336,,,504,,,824,,,346,,,8,,,849,,,720,,,645,,,88,,,444,,,81,,
0.9,0.9,0.3,747,,,278,,,888,,,930,,,434,,,641,,,880,,,552,,,7,,,892,,,818,,,651,,,120,,,590,,,106,,
